Method,Groups,Data var.,PP,Pp,PN,Pn,P?,pP,pp,pN,pn,p?,NP,Np,NN,Nn,N?,nP,np,nN,nn,n?,?P,?p,?N,?n
greedy,WT-YNB-S51A-YNB,none,90,0,0,0,0,0,328,0,0,0,0,0,155,0,0,0,0,0,346,0,0,0,0,0
greedy,WT-YNB-WT-Tyr,none,75,0,0,0,0,0,320,0,0,0,0,0,162,0,0,0,0,0,381,0,0,0,0,0
greedy,WT-YNB-S51A-Tyr,none,49,0,0,0,0,0,307,0,0,0,0,0,171,0,0,0,0,0,464,0,0,0,0,0
greedy,WT-YNB-WT-total,none,107,0,0,0,0,0,242,0,0,0,0,0,272,0,0,0,0,0,247,0,0,0,0,0
greedy,WT-YNB-WT-vac,none,131,0,0,0,0,0,227,0,0,0,0,0,244,0,0,0,0,0,260,0,0,0,0,0
greedy,WT-YNB-avt1-total,none,97,0,0,0,0,0,252,0,0,0,0,0,260,0,0,0,0,0,278,0,0,0,0,0
greedy,WT-YNB-avt1-vac,none,89,0,0,0,0,0,246,0,0,0,0,0,268,0,0,0,0,0,280,0,0,0,0,0
greedy,WT-YNB-aa-standard,none,131,0,0,0,0,0,210,0,0,0,0,0,247,0,0,0,0,0,268,0,0,0,0,0
dgi-tran,WT-YNB-S51A-YNB,none,78,0,0,0,0,0,263,0,0,0,0,0,137,0,0,0,0,0,276,0,0,0,0,0
dgi-tran,WT-YNB-WT-Tyr,none,61,0,0,0,0,0,268,0,0,0,0,0,136,0,0,0,0,0,329,0,0,0,0,0
dgi-tran,WT-YNB-S51A-Tyr,none,33,0,0,0,0,0,242,0,0,0,0,0,143,0,0,0,0,0,375,0,0,0,0,0
dgi-tran,WT-YNB-WT-total,none,90,0,0,0,0,0,195,0,0,0,0,0,223,0,0,0,0,0,201,0,0,0,0,0
dgi-tran,WT-YNB-WT-vac,none,114,0,0,0,0,0,180,0,0,0,0,0,209,0,0,0,0,0,212,0,0,0,0,0
dgi-tran,WT-YNB-avt1-total,none,91,0,0,0,0,0,212,0,0,0,0,0,224,0,0,0,0,0,227,0,0,0,0,0
dgi-tran,WT-YNB-avt1-vac,none,71,0,0,0,0,0,214,0,0,0,0,0,222,0,0,0,0,0,233,0,0,0,0,0
dgi-tran,WT-YNB-aa-standard,none,110,0,0,0,0,0,175,0,0,0,0,0,198,0,0,0,0,0,219,0,0,0,0,0
dgi-tran,WT-YNB-S51A-YNB,str,77,0,0,0,0,0,274,0,0,0,0,0,138,0,0,0,0,0,290,0,0,0,0,0
dgi-tran,WT-YNB-WT-Tyr,str,63,0,0,0,0,0,261,0,0,0,0,0,141,0,0,0,0,0,325,0,0,0,0,0
dgi-tran,WT-YNB-S51A-Tyr,str,38,0,0,0,0,0,268,0,0,0,0,0,149,0,0,0,0,0,412,0,0,0,0,0
dgi-tran,WT-YNB-WT-total,str,97,0,0,0,0,0,213,0,0,0,0,0,215,0,0,0,0,0,222,0,0,0,0,0
dgi-tran,WT-YNB-WT-vac,str,112,0,0,0,0,0,186,0,0,0,0,0,206,0,0,0,0,0,232,0,0,0,0,0
dgi-tran,WT-YNB-avt1-total,str,84,0,0,0,0,0,219,0,0,0,0,0,214,0,0,0,0,0,248,0,0,0,0,0
dgi-tran,WT-YNB-avt1-vac,str,80,0,0,0,0,0,222,0,0,0,0,0,219,0,0,0,0,0,245,0,0,0,0,0
dgi-tran,WT-YNB-aa-standard,str,114,0,0,0,0,0,189,0,0,0,0,0,211,0,0,0,0,0,227,0,0,0,0,0
dgi-tran,WT-YNB-S51A-YNB,dyn,78,0,0,0,0,0,277,0,0,0,0,0,124,0,0,0,0,0,286,0,0,0,0,0
dgi-tran,WT-YNB-WT-Tyr,dyn,72,0,0,0,0,0,284,0,0,0,0,0,128,0,0,0,0,0,332,0,0,0,0,0
dgi-tran,WT-YNB-S51A-Tyr,dyn,43,0,0,0,0,0,259,0,0,0,0,0,133,0,0,0,0,0,396,0,0,0,0,0
dgi-tran,WT-YNB-WT-total,dyn,88,0,0,0,0,0,206,0,0,0,0,0,212,0,0,0,0,0,196,0,0,0,0,0
dgi-tran,WT-YNB-WT-vac,dyn,116,0,0,0,0,0,200,0,0,0,0,0,194,0,0,0,0,0,226,0,0,0,0,0
dgi-tran,WT-YNB-avt1-total,dyn,88,0,0,0,0,0,214,0,0,0,0,0,193,0,0,0,0,0,229,0,0,0,0,0
dgi-tran,WT-YNB-avt1-vac,dyn,82,0,0,0,0,0,215,0,0,0,0,0,204,0,0,0,0,0,234,0,0,0,0,0
dgi-tran,WT-YNB-aa-standard,dyn,111,0,0,0,0,0,178,0,0,0,0,0,182,0,0,0,0,0,234,0,0,0,0,0
argva-base,WT-YNB-S51A-YNB,none,69,0,0,0,0,0,272,0,0,0,0,0,126,0,0,0,0,0,287,0,0,0,0,0
argva-base,WT-YNB-WT-Tyr,none,65,0,0,0,0,0,267,0,0,0,0,0,119,0,0,0,0,0,293,0,0,0,0,0
argva-base,WT-YNB-S51A-Tyr,none,37,0,0,0,0,0,265,0,0,0,0,0,129,0,0,0,0,0,363,0,0,0,0,0
argva-base,WT-YNB-WT-total,none,86,0,0,0,0,0,200,0,0,0,0,0,223,0,0,0,0,0,191,0,0,0,0,0
argva-base,WT-YNB-WT-vac,none,105,0,0,0,0,0,191,0,0,0,0,0,206,0,0,0,0,0,218,0,0,0,0,0
argva-base,WT-YNB-avt1-total,none,75,0,0,0,0,0,202,0,0,0,0,0,207,0,0,0,0,0,217,0,0,0,0,0
argva-base,WT-YNB-avt1-vac,none,73,0,0,0,0,0,208,0,0,0,0,0,212,0,0,0,0,0,227,0,0,0,0,0
argva-base,WT-YNB-aa-standard,none,111,0,0,0,0,0,175,0,0,0,0,0,201,0,0,0,0,0,203,0,0,0,0,0
argva-base,WT-YNB-S51A-YNB,str,76,0,0,0,0,0,259,0,0,0,0,0,122,0,0,0,0,0,278,0,0,0,0,0
argva-base,WT-YNB-WT-Tyr,str,64,0,0,0,0,0,260,0,0,0,0,0,143,0,0,0,0,0,311,0,0,0,0,0
argva-base,WT-YNB-S51A-Tyr,str,38,0,0,0,0,0,244,0,0,0,0,0,144,0,0,0,0,0,375,0,0,0,0,0
argva-base,WT-YNB-WT-total,str,93,0,0,0,0,0,195,0,0,0,0,0,208,0,0,0,0,0,195,0,0,0,0,0
argva-base,WT-YNB-WT-vac,str,113,0,0,0,0,0,183,0,0,0,0,0,194,0,0,0,0,0,214,0,0,0,0,0
argva-base,WT-YNB-avt1-total,str,80,0,0,0,0,0,202,0,0,0,0,0,208,0,0,0,0,0,242,0,0,0,0,0
argva-base,WT-YNB-avt1-vac,str,70,0,0,0,0,0,215,0,0,0,0,0,230,0,0,0,0,0,220,0,0,0,0,0
argva-base,WT-YNB-aa-standard,str,112,0,0,0,0,0,172,0,0,0,0,0,211,0,0,0,0,0,222,0,0,0,0,0
argva-base,WT-YNB-S51A-YNB,dyn,73,0,0,0,0,0,258,0,0,0,0,0,126,0,0,0,0,0,283,0,0,0,0,0
argva-base,WT-YNB-WT-Tyr,dyn,62,0,0,0,0,0,272,0,0,0,0,0,138,0,0,0,0,0,311,0,0,0,0,0
argva-base,WT-YNB-S51A-Tyr,dyn,46,0,0,0,0,0,241,0,0,0,0,0,146,0,0,0,0,0,374,0,0,0,0,0
argva-base,WT-YNB-WT-total,dyn,84,0,0,0,0,0,205,0,0,0,0,0,219,0,0,0,0,0,200,0,0,0,0,0
argva-base,WT-YNB-WT-vac,dyn,103,0,0,0,0,0,191,0,0,0,0,0,191,0,0,0,0,0,212,0,0,0,0,0
argva-base,WT-YNB-avt1-total,dyn,83,0,0,0,0,0,212,0,0,0,0,0,214,0,0,0,0,0,227,0,0,0,0,0
argva-base,WT-YNB-avt1-vac,dyn,72,0,0,0,0,0,192,0,0,0,0,0,218,0,0,0,0,0,221,0,0,0,0,0
argva-base,WT-YNB-aa-standard,dyn,108,0,0,0,0,0,171,0,0,0,0,0,197,0,0,0,0,0,222,0,0,0,0,0
vgae-line,WT-YNB-S51A-YNB,none,76,0,0,0,0,0,257,0,0,0,0,0,127,0,0,0,0,0,282,0,0,0,0,0
vgae-line,WT-YNB-WT-Tyr,none,64,0,0,0,0,0,246,0,0,0,0,0,123,0,0,0,0,0,313,0,0,0,0,0
vgae-line,WT-YNB-S51A-Tyr,none,38,0,0,0,0,0,244,0,0,0,0,0,135,0,0,0,0,0,362,0,0,0,0,0
vgae-line,WT-YNB-WT-total,none,83,0,0,0,0,0,197,0,0,0,0,0,224,0,0,0,0,0,198,0,0,0,0,0
vgae-line,WT-YNB-WT-vac,none,99,0,0,0,0,0,181,0,0,0,0,0,201,0,0,0,0,0,213,0,0,0,0,0
vgae-line,WT-YNB-avt1-total,none,84,0,0,0,0,0,200,0,0,0,0,0,210,0,0,0,0,0,226,0,0,0,0,0
vgae-line,WT-YNB-avt1-vac,none,73,0,0,0,0,0,205,0,0,0,0,0,229,0,0,0,0,0,221,0,0,0,0,0
vgae-line,WT-YNB-aa-standard,none,105,0,0,0,0,0,175,0,0,0,0,0,190,0,0,0,0,0,204,0,0,0,0,0
vgae-line,WT-YNB-S51A-YNB,str,74,0,0,0,0,0,260,0,0,0,0,0,134,0,0,0,0,0,283,0,0,0,0,0
vgae-line,WT-YNB-WT-Tyr,str,63,0,0,0,0,0,252,0,0,0,0,0,130,0,0,0,0,0,314,0,0,0,0,0
vgae-line,WT-YNB-S51A-Tyr,str,37,0,0,0,0,0,237,0,0,0,0,0,141,0,0,0,0,0,377,0,0,0,0,0
vgae-line,WT-YNB-WT-total,str,90,0,0,0,0,0,191,0,0,0,0,0,225,0,0,0,0,0,204,0,0,0,0,0
vgae-line,WT-YNB-WT-vac,str,104,0,0,0,0,0,182,0,0,0,0,0,200,0,0,0,0,0,222,0,0,0,0,0
vgae-line,WT-YNB-avt1-total,str,77,0,0,0,0,0,197,0,0,0,0,0,211,0,0,0,0,0,242,0,0,0,0,0
vgae-line,WT-YNB-avt1-vac,str,72,0,0,0,0,0,206,0,0,0,0,0,212,0,0,0,0,0,234,0,0,0,0,0
vgae-line,WT-YNB-aa-standard,str,108,0,0,0,0,0,169,0,0,0,0,0,211,0,0,0,0,0,226,0,0,0,0,0
vgae-line,WT-YNB-S51A-YNB,dyn,74,0,0,0,0,0,267,0,0,0,0,0,128,0,0,0,0,0,285,0,0,0,0,0
vgae-line,WT-YNB-WT-Tyr,dyn,64,0,0,0,0,0,260,0,0,0,0,0,137,0,0,0,0,0,313,0,0,0,0,0
vgae-line,WT-YNB-S51A-Tyr,dyn,35,0,0,0,0,0,242,0,0,0,0,0,132,0,0,0,0,0,370,0,0,0,0,0
vgae-line,WT-YNB-WT-total,dyn,92,0,0,0,0,0,204,0,0,0,0,0,214,0,0,0,0,0,205,0,0,0,0,0
vgae-line,WT-YNB-WT-vac,dyn,98,0,0,0,0,0,185,0,0,0,0,0,197,0,0,0,0,0,223,0,0,0,0,0
vgae-line,WT-YNB-avt1-total,dyn,81,0,0,0,0,0,208,0,0,0,0,0,222,0,0,0,0,0,221,0,0,0,0,0
vgae-line,WT-YNB-avt1-vac,dyn,68,0,0,0,0,0,205,0,0,0,0,0,216,0,0,0,0,0,231,0,0,0,0,0
vgae-line,WT-YNB-aa-standard,dyn,101,0,0,0,0,0,169,0,0,0,0,0,202,0,0,0,0,0,213,0,0,0,0,0
vgae-base,WT-YNB-S51A-YNB,none,74,0,0,0,0,0,266,0,0,0,0,0,119,0,0,0,0,0,297,0,0,0,0,0
vgae-base,WT-YNB-WT-Tyr,none,58,0,0,0,0,0,270,0,0,0,0,0,112,0,0,0,0,0,299,0,0,0,0,0
vgae-base,WT-YNB-S51A-Tyr,none,42,0,0,0,0,0,253,0,0,0,0,0,138,0,0,0,0,0,385,0,0,0,0,0
vgae-base,WT-YNB-WT-total,none,86,0,0,0,0,0,203,0,0,0,0,0,222,0,0,0,0,0,190,0,0,0,0,0
vgae-base,WT-YNB-WT-vac,none,103,0,0,0,0,0,190,0,0,0,0,0,192,0,0,0,0,0,212,0,0,0,0,0
vgae-base,WT-YNB-avt1-total,none,80,0,0,0,0,0,214,0,0,0,0,0,208,0,0,0,0,0,210,0,0,0,0,0
vgae-base,WT-YNB-avt1-vac,none,74,0,0,0,0,0,202,0,0,0,0,0,199,0,0,0,0,0,220,0,0,0,0,0
vgae-base,WT-YNB-aa-standard,none,108,0,0,0,0,0,172,0,0,0,0,0,209,0,0,0,0,0,194,0,0,0,0,0
vgae-base,WT-YNB-S51A-YNB,str,73,0,0,0,0,0,255,0,0,0,0,0,123,0,0,0,0,0,285,0,0,0,0,0
vgae-base,WT-YNB-WT-Tyr,str,62,0,0,0,0,0,269,0,0,0,0,0,139,0,0,0,0,0,312,0,0,0,0,0
vgae-base,WT-YNB-S51A-Tyr,str,38,0,0,0,0,0,247,0,0,0,0,0,143,0,0,0,0,0,384,0,0,0,0,0
vgae-base,WT-YNB-WT-total,str,81,0,0,0,0,0,192,0,0,0,0,0,218,0,0,0,0,0,209,0,0,0,0,0
vgae-base,WT-YNB-WT-vac,str,110,0,0,0,0,0,179,0,0,0,0,0,200,0,0,0,0,0,203,0,0,0,0,0
vgae-base,WT-YNB-avt1-total,str,75,0,0,0,0,0,200,0,0,0,0,0,219,0,0,0,0,0,237,0,0,0,0,0
vgae-base,WT-YNB-avt1-vac,str,71,0,0,0,0,0,220,0,0,0,0,0,215,0,0,0,0,0,229,0,0,0,0,0
vgae-base,WT-YNB-aa-standard,str,101,0,0,0,0,0,171,0,0,0,0,0,214,0,0,0,0,0,225,0,0,0,0,0
vgae-base,WT-YNB-S51A-YNB,dyn,76,0,0,0,0,0,256,0,0,0,0,0,123,0,0,0,0,0,276,0,0,0,0,0
vgae-base,WT-YNB-WT-Tyr,dyn,65,0,0,0,0,0,277,0,0,0,0,0,139,0,0,0,0,0,316,0,0,0,0,0
vgae-base,WT-YNB-S51A-Tyr,dyn,41,0,0,0,0,0,244,0,0,0,0,0,140,0,0,0,0,0,381,0,0,0,0,0
vgae-base,WT-YNB-WT-total,dyn,90,0,0,0,0,0,194,0,0,0,0,0,211,0,0,0,0,0,203,0,0,0,0,0
vgae-base,WT-YNB-WT-vac,dyn,96,0,0,0,0,0,189,0,0,0,0,0,197,0,0,0,0,0,202,0,0,0,0,0
vgae-base,WT-YNB-avt1-total,dyn,79,0,0,0,0,0,202,0,0,0,0,0,208,0,0,0,0,0,212,0,0,0,0,0
vgae-base,WT-YNB-avt1-vac,dyn,69,0,0,0,0,0,203,0,0,0,0,0,227,0,0,0,0,0,228,0,0,0,0,0
vgae-base,WT-YNB-aa-standard,dyn,103,0,0,0,0,0,171,0,0,0,0,0,195,0,0,0,0,0,217,0,0,0,0,0
